date,rolling_avg,mask_mandate
2020-07-12,24.29157880034428,Mask
2020-07-13,19.031074932963186,Mask
2020-07-14,18.980072817905473,Mask
2020-07-15,19.82525072457612,Mask
2020-07-16,19.11122111376816,Mask
2020-07-17,19.02378891652637,Mask
2020-07-18,19.701388445150254,Mask
2020-07-19,19.125793146641797,Mask
2020-07-20,19.752390560207967,Mask
2020-07-21,20.53928033538409,Mask
2020-07-22,19.03836094940001,Mask
2020-07-23,19.03836094940001,Mask
2020-07-24,19.737818527334333,Mask
2020-07-25,18.404477519397023,Mask
2020-07-26,18.99464485077911,Mask
2020-07-27,16.451825114330354,Mask
2020-07-28,15.715937454211945,Mask
2020-07-29,15.839799733637816,Mask
2020-07-30,15.919945914442792,Mask
2020-07-31,15.358922648807967,Mask
2020-08-01,15.49735696110747,Mask
2020-08-02,15.198630287198018,Mask
2020-08-03,15.300634517313442,Mask
2020-07-12,9.522699791865275,No Mask
2020-07-13,8.80287366586601,No Mask
2020-07-14,9.072808463115733,No Mask
2020-07-15,9.552692547115242,No Mask
2020-07-16,9.64267081286515,No Mask
2020-07-17,9.327746882740472,No Mask
2020-07-18,9.327746882740472,No Mask
2020-07-19,8.817870043490993,No Mask
2020-07-20,8.337985959491483,No Mask
2020-07-21,8.337985959491483,No Mask
2020-07-22,8.48794973574133,No Mask
2020-07-23,8.263004071366561,No Mask
2020-07-24,9.70265632336509,No Mask
2020-07-25,9.762641833865029,No Mask
2020-07-26,9.972591120614814,No Mask
2020-07-27,9.47771065899032,No Mask
2020-07-28,9.492707036615304,No Mask
2020-07-29,9.762641833865029,No Mask
2020-07-30,10.242525917864539,No Mask
2020-07-31,9.027819330240778,No Mask
2020-08-01,9.252764994615548,No Mask
2020-08-02,9.042815707865762,No Mask
2020-08-03,9.342743260365456,No Mask
