elevation,state
2405,Alabama
20237,Alaska
12633,Arizona
2753,Arkansas
14494,California
14433,Colorado
2380,Connecticut
448,Delaware
345,Florida
4784,Georgia
13796,Hawaii
12662,Idaho
1235,Illinois
1257,Indiana
1670,Iowa
4039,Kansas
4139,Kentucky
535,Louisiana
5267,Maine
3360,Maryland
3487,Massachusetts
1979,Michigan
2301,Minnesota
806,Mississippi
1772,Missouri
12799,Montana
5424,Nebraska
13140,Nevada
6288,New Hampshire
1803,New Jersey
13161,New Mexico
5344,New York
6684,North Carolina
3506,North Dakota
1549,Ohio
4973,Oklahoma
11239,Oregon
3213,Pennsylvania
812,Rhode Island
3560,South Carolina
7242,South Dakota
6643,Tennessee
8749,Texas
13528,Utah
4393,Vermont
5729,Virginia
14410,Washington
4861,West Virginia
1951,Wisconsin
13804,Wyoming
