"display_name","first_name","id","last_name","party","state"
"Abraham (R-MI)","Spencer","S238","Abraham","R","MI"
"Akaka (D-HI)","Daniel","S213","Akaka","D","HI"
"Allard (R-CO)","Wayne","S250","Allard","R","CO"
"Ashcroft (R-MO)","John","S239","Ashcroft","R","MO"
"Baucus (D-MT)","Max","S127","Baucus","D","MT"
"Bayh (D-IN)","Evan","S264","Bayh","D","IN"
"Bennett (R-UT)","Robert","S231","Bennett","R","UT"
"Biden (D-DE)","Joseph","S010","Biden","D","DE"
"Bingaman (D-NM)","Jeff","S167","Bingaman","D","NM"
"Bond (R-MO)","Christopher","S200","Bond","R","MO"
"Boxer (D-CA)","Barbara","S223","Boxer","D","CA"
"Breaux (D-LA)","John","S179","Breaux","D","LA"
"Brownback (R-KS)","Sam","S249","Brownback","R","KS"
"Bryan (D-NV)","Richard","S206","Bryan","D","NV"
"Bunning (R-KY)","Jim","S265","Bunning","R","KY"
"Burns (R-MT)","Conrad","S211","Burns","R","MT"
"Byrd (D-WV)","Robert","S017","Byrd","D","WV"
"Campbell (R-CO)","Ben","S225","Campbell","R","CO"
"Chafee, J.  (R-RI)","John","S116","Chafee","R","RI"
"Cleland (D-GA)","Max","S251","Cleland","D","GA"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Collins (R-ME)","Susan","S252","Collins","R","ME"
"Conrad (D-ND)","Kent","S201","Conrad","D","ND"
"Coverdell (R-GA)","Paul","S228","Coverdell","R","GA"
"Craig (R-ID)","Larry","S215","Craig","R","ID"
"Crapo (R-ID)","Michael","S266","Crapo","R","ID"
"Daschle (D-SD)","Thomas","S185","Daschle","D","SD"
"DeWine (R-OH)","Mike","S240","DeWine","R","OH"
"Dodd (D-CT)","Christopher","S150","Dodd","D","CT"
"Domenici (R-NM)","Pete","S027","Domenici","R","NM"
"Dorgan (D-ND)","Byron","S222","Dorgan","D","ND"
"Durbin (D-IL)","Richard","S253","Durbin","D","IL"
"Edwards (D-NC)","John","S267","Edwards","D","NC"
"Enzi (R-WY)","Michael","S254","Enzi","R","WY"
"Feingold (D-WI)","Russell","S230","Feingold","D","WI"
"Feinstein (D-CA)","Dianne","S221","Feinstein","D","CA"
"Fitzgerald (R-IL)","Peter","S268","Fitzgerald","R","IL"
"Frist (R-TN)","Bill","S241","Frist","R","TN"
"Gorton (R-WA)","Slade","S152","Gorton","R","WA"
"Graham (D-FL)","Bob","S199","Graham","D","FL"
"Gramm (R-TX)","Phil","S171","Gramm","R","TX"
"Grams (R-MN)","Rod","S242","Grams","R","MN"
"Grassley (R-IA)","Chuck","S153","Grassley","R","IA"
"Gregg (R-NH)","Judd","S224","Gregg","R","NH"
"Hagel (R-NE)","Chuck","S255","Hagel","R","NE"
"Harkin (D-IA)","Tom","S172","Harkin","D","IA"
"Hatch (R-UT)","Orrin","S118","Hatch","R","UT"
"Helms (R-NC)","Jesse","S046","Helms","R","NC"
"Hollings (D-SC)","Ernest","S047","Hollings","D","SC"
"Hutchinson (R-AR)","Tim","S256","Hutchinson","R","AR"
"Hutchison (R-TX)","Kay","S235","Hutchison","R","TX"
"Inhofe (R-OK)","James","S236","Inhofe","R","OK"
"Inouye (D-HI)","Daniel","S051","Inouye","D","HI"
"Jeffords (R-VT)","James","S204","Jeffords","R","VT"
"Johnson (D-SD)","Tim","S257","Johnson","D","SD"
"Kennedy (D-MA)","Edward","S055","Kennedy","D","MA"
"Kerrey (D-NE)","J.","S208","Kerrey","D","NE"
"Kerry (D-MA)","John","S173","Kerry","D","MA"
"Kohl (D-WI)","Herb","S209","Kohl","D","WI"
"Kyl (R-AZ)","Jon","S243","Kyl","R","AZ"
"Landrieu (D-LA)","Mary","S258","Landrieu","D","LA"
"Lautenberg (D-NJ)","Frank","S166","Lautenberg","D","NJ"
"Leahy (D-VT)","Patrick","S057","Leahy","D","VT"
"Levin (D-MI)","Carl","S131","Levin","D","MI"
"Lieberman (D-CT)","Joseph","S210","Lieberman","D","CT"
"Lincoln (D-AR)","Blanche","S269","Lincoln","D","AR"
"Lott (R-MS)","Trent","S203","Lott","R","MS"
"Lugar (R-IN)","Richard","S105","Lugar","R","IN"
"Mack (R-FL)","Connie","S205","Mack","R","FL"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"McConnell (R-KY)","Mitch","S174","McConnell","R","KY"
"Mikulski (D-MD)","Barbara","S182","Mikulski","D","MD"
"Moynihan (D-NY)","Daniel","S113","Moynihan","D","NY"
"Murkowski (R-AK)","Frank","S157","Murkowski","R","AK"
"Murray (D-WA)","Patty","S229","Murray","D","WA"
"Nickles (R-OK)","Don","S158","Nickles","R","OK"
"Reed (D-RI)","Jack","S259","Reed","D","RI"
"Reid (D-NV)","Harry","S198","Reid","D","NV"
"Robb (D-VA)","Charles","S207","Robb","D","VA"
"Roberts (R-KS)","Pat","S260","Roberts","R","KS"
"Rockefeller (D-WV)","John","S176","Rockefeller","D","WV"
"Roth (R-DE)","William","S083","Roth","R","DE"
"Santorum (R-PA)","Rick","S244","Santorum","R","PA"
"Sarbanes (D-MD)","Paul","S106","Sarbanes","D","MD"
"Schumer (D-NY)","Charles","S270","Schumer","D","NY"
"Sessions (R-AL)","Jeff","S261","Sessions","R","AL"
"Shelby (R-AL)","Richard","S184","Shelby","R","AL"
"Smith (R-NH)","Bob","S216","Smith","R","NH"
"Smith (R-OR)","Gordon","S262","Smith","R","OR"
"Snowe (R-ME)","Olympia","S245","Snowe","R","ME"
"Specter (R-PA)","Arlen","S161","Specter","R","PA"
"Stevens (R-AK)","Ted","S090","Stevens","R","AK"
"Thomas (R-WY)","Craig","S246","Thomas","R","WY"
"Thompson (R-TN)","Fred","S237","Thompson","R","TN"
"Thurmond (R-SC)","Strom","S096","Thurmond","R","SC"
"Torricelli (D-NJ)","Robert","S263","Torricelli","D","NJ"
"Voinovich (R-OH)","George","S271","Voinovich","R","OH"
"Warner (R-VA)","John","S143","Warner","R","VA"
"Wellstone (D-MN)","Paul","S217","Wellstone","D","MN"
"Wyden (D-OR)","Ron","S247","Wyden","D","OR"
"Chafee, L.  (R-RI)","Lincoln","S272","Chafee","R","RI"
